SA2,Nil distance,Over 0 km to less than 2.5 km,2.5 km to less than 10 km,10 km to less than 30 km,30 km to less than 50 km,50 km to less than 250 km,250 km and over,Not applicable,Total
Wahroonga (East) - Warrawee,109,105,249,804,36,22,0,481,1803
Cremorne - Cammeray,123,331,1944,550,50,13,12,756,3786
Crows Nest - Waverton,102,804,1891,572,42,17,3,820,4249
Mosman,174,298,1843,590,49,11,16,1111,4089
Neutral Bay - Kirribilli,107,430,2112,497,55,19,26,807,4048
North Sydney - Lavender Bay,39,360,1005,287,27,18,8,550,2295
Balgowlah - Clontarf - Seaforth,175,153,489,1032,28,13,12,672,2576
Manly - Fairlight,183,479,429,2283,58,14,19,976,4425
Avalon - Palm Beach,158,103,144,174,216,8,7,307,1121
Bayview - Elanora Heights,102,43,188,332,87,3,4,252,1005
Newport - Bilgola,150,107,290,327,210,11,4,343,1432
Warriewood - Mona Vale,216,356,475,1157,139,17,10,666,3038
Beacon Hill - Narraweena,107,128,410,586,27,8,5,391,1659
Cromer,62,44,261,300,11,0,8,196,878
Dee Why - North Curl Curl,176,444,1173,1626,70,13,9,1117,4632
Forestville - Killarney Heights,118,76,267,579,15,8,0,363,1428
Frenchs Forest - Belrose,197,119,556,1217,50,12,5,562,2723
Freshwater - Brookvale,196,358,740,1610,63,15,14,872,3863
Manly Vale - Allambie Heights,161,190,539,898,26,12,10,559,2399
Narrabeen - Collaroy,215,199,950,1282,83,9,12,759,3515
Terrey Hills - Duffys Forest,26,16,48,162,16,0,3,86,351
Camden - Ellis Lane,100,62,255,419,181,190,3,354,1565
Elderslie - Harrington Park,162,126,533,811,421,313,6,774,3150
Mount Annan - Currans Hill,179,109,1106,939,716,533,16,1182,4783
Bradbury - Wedderburn,59,107,458,414,334,254,0,1173,2793
