SA2,"Employed, worked full-time","Employed, worked part-time","Employed, away from work","Unemployed, looking for full-time work","Unemployed, looking for part-time work",Not in the labour force,Not stated,Total
Doonside - Woodcroft,1403,701,142,95,70,890,142,3449
Lalor Park - Kings Langley,1448,894,180,70,65,732,148,3544
Seven Hills - Toongabbie,1423,828,151,100,76,832,169,3571
Blacktown (South),664,395,79,47,51,506,100,1837
Blacktown (West),872,538,110,64,46,645,103,2389
Glenwood,1061,643,115,48,49,467,43,2432
Parklea - Kellyville Ridge,2605,1599,289,102,114,1044,221,5976
Riverstone - Marsden Park,1272,662,151,70,54,540,169,2914
Acacia Gardens,304,164,31,15,16,102,18,643
Quakers Hill,1604,1020,158,85,91,775,132,3856
Bidwill - Hebersham - Emerton,560,439,81,97,94,996,228,2497
Glendenning - Dean Park,507,314,53,41,26,353,51,1340
Hassall Grove - Plumpton,1184,628,136,82,72,748,143,2996
Lethbridge Park - Tregear,987,551,114,103,95,1063,256,3165
Mount Druitt - Whalan,924,611,123,125,109,1366,192,3445
Prospect Reservoir,0,0,0,0,0,0,7,6
Rooty Hill - Minchinbury,1225,656,161,71,69,724,137,3038
Banksmeadow,3,0,0,0,0,0,0,7
Botany,814,464,91,22,18,227,136,1772
Mascot - Eastlakes,2030,973,189,93,95,824,276,4481
Pagewood - Hillsdale - Daceyville,657,380,70,41,37,355,136,1672
Port Botany Industrial,0,0,0,0,0,0,0,0
Sydney Airport,3,3,4,0,0,0,12,18
Marrickville,2611,1219,239,82,80,632,427,5283
Petersham - Stanmore,2367,979,179,72,48,380,419,4439
