SA2,Very well,Well,Not well,Not at all,Not stated - both language (LANP) and proficiency (ENGP) not stated,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Not applicable,Total
Kogarah,960,594,89,6,100,9,448,2204
Kogarah Bay - Carlton - Allawah,1001,532,116,7,107,6,789,2562
Monterey - Brighton-le-Sands - Kyeemagh,829,241,59,5,174,16,876,2200
Rockdale - Banksia,1478,1003,189,16,185,13,856,3745
Sans Souci - Ramsgate,739,142,39,3,136,9,1066,2135
Concord - Mortlake - Cabarita,945,277,81,6,121,3,1526,2966
Concord West - North Strathfield,1982,1446,350,26,299,19,1302,5432
Drummoyne - Rodd Point,609,135,30,0,221,3,1970,2962
Five Dock - Abbotsford,767,179,45,7,207,6,2087,3302
Balmain,316,68,14,0,232,5,2041,2674
Leichhardt - Annandale,771,189,30,6,377,8,3629,5011
Lilyfield - Rozelle,383,58,15,0,214,9,1998,2672
Ashfield,1420,1048,267,26,288,11,1598,4661
Burwood - Croydon,1367,1295,434,35,224,17,919,4294
Canterbury (North) - Ashbury,495,192,63,4,103,3,787,1654
Croydon Park - Enfield,873,324,93,16,106,9,1129,2546
Dulwich Hill - Lewisham,675,189,49,6,244,5,2075,3237
Haberfield - Summer Hill,444,169,44,3,107,5,1410,2179
Homebush,1413,876,289,24,310,16,561,3488
Strathfield,1608,1060,369,29,223,19,765,4079
Strathfield South,225,59,29,0,27,3,175,523
Chatswood (East) - Artarmon,1889,1376,466,32,307,12,1528,5601
Chatswood (West) - Lane Cove North,1267,602,166,6,191,9,1822,4061
Lane Cove - Greenwich,943,317,56,10,185,9,2449,3976
St Leonards - Naremburn,749,289,62,0,178,4,1226,2511
Willoughby - Castle Cove - Northbridge,681,237,49,4,125,3,2025,3128
Asquith - Mount Colah,431,192,50,0,56,6,1645,2386
Berowra - Brooklyn - Cowan,146,47,8,0,36,0,1161,1400
Normanhurst - Thornleigh - Westleigh,524,219,30,0,52,9,1337,2169
Hornsby - East,949,636,165,6,69,3,669,2505
Hornsby - West,416,260,60,0,86,6,680,1516
Waitara - Wahroonga (West),646,425,99,6,66,0,534,1775
Gordon - Killara,835,466,134,11,88,3,1024,2561
Lindfield - Roseville,755,384,89,8,95,0,1493,2825
Pymble,512,199,39,0,54,0,1048,1853
St Ives,662,321,84,9,54,9,1187,2329
Turramurra,447,159,43,3,64,4,1215,1938
Wahroonga (East) - Warrawee,430,168,40,5,54,0,1100,1803
Cremorne - Cammeray,674,205,47,3,236,0,2623,3786
Crows Nest - Waverton,894,269,52,0,273,0,2758,4249
Mosman,751,201,47,0,282,3,2792,4089
Neutral Bay - Kirribilli,767,278,49,0,323,6,2624,4048
North Sydney - Lavender Bay,616,181,32,4,227,8,1232,2295
Balgowlah - Clontarf - Seaforth,361,91,15,0,106,6,1991,2576
Manly - Fairlight,767,181,33,0,338,7,3097,4425
Avalon - Palm Beach,88,13,3,0,53,0,969,1121
Bayview - Elanora Heights,99,14,7,0,56,0,841,1005
Newport - Bilgola,123,26,6,0,40,0,1236,1432
Warriewood - Mona Vale,345,121,12,0,138,4,2418,3038
Beacon Hill - Narraweena,309,89,21,4,64,0,1174,1659
Cromer,122,32,8,0,29,0,693,878
Dee Why - North Curl Curl,1016,549,139,12,262,9,2645,4632
Forestville - Killarney Heights,326,88,17,4,32,3,954,1428
Frenchs Forest - Belrose,441,101,12,9,50,4,2107,2723
Freshwater - Brookvale,543,142,43,3,234,10,2895,3863
Manly Vale - Allambie Heights,373,134,28,0,88,0,1774,2399
Narrabeen - Collaroy,464,118,30,0,180,7,2724,3515
Terrey Hills - Duffys Forest,31,11,0,0,23,0,292,351
Camden - Ellis Lane,92,11,0,0,43,0,1421,1565
Elderslie - Harrington Park,364,76,18,4,110,3,2573,3150
Mount Annan - Currans Hill,543,153,36,0,161,8,3891,4783
Bradbury - Wedderburn,379,134,50,3,130,3,2099,2793
Campbelltown - Woodbine,660,276,69,5,152,5,1524,2694
Claymore - Eagle Vale - Raby,568,177,46,4,164,14,1975,2946
Holsworthy Military Area,0,0,0,0,0,0,0,0
Ingleburn - Denham Court,930,451,101,4,156,8,1312,2965
Leumeah - Minto Heights,431,183,51,3,101,12,1564,2356
Macquarie Fields - Glenfield,1225,668,136,8,193,20,1349,3600
Minto - St Andrews,874,502,98,11,112,18,1337,2954
Rosemeadow - Glen Alpine,522,181,52,4,167,3,1850,2779
Bargo,31,7,3,0,34,0,636,716
Douglas Park - Appin,72,9,3,0,49,0,1195,1330
Picton - Tahmoor - Buxton,102,24,6,0,113,3,1930,2181
The Oaks - Oakdale,81,21,5,0,44,0,978,1126
Blackheath - Megalong Valley,42,15,0,0,40,0,456,562
Blaxland - Warrimoo - Lapstone,124,36,3,0,64,0,2032,2259
Blue Mountains - North,0,0,0,0,0,0,0,0
Katoomba - Leura,107,60,11,6,100,0,1166,1442
Lawson - Hazelbrook - Linden,74,23,3,0,46,0,1175,1317
